key,text
114,Era preciso uma somma que pagasse os atrazados todos.
115,Cogitei muito no modo de resgatar a divida espiritual.
116,"As missas eram numerosas, podiam empenhar-mo outra vez a alma...."
117,"Na varanda achei prima Justina, passeando de um lado para outro."
118,"Mamãe perguntou por —Perguntou, mas eu disse que você já tinha vindo."
119,"A mentira espantou-me, não menos que a franqueza da noticia."
120,"Era quadragenaria, magra e pallida, bocca fina e olhos curiosos."
121,"Passeámos alguns minutos na varanda, alumiada por um lampião."
122,Respondi esquivo: —Vida de padre é muito bonita.
123,"Primo Cosme não é, que não se importa com isso; eu tambem não."
124,"Enruguei a testa interrogativamente, como se não soubesse nada."
125,Hoje de tarde falou como você não —Mas falou á toa?
126,Supponha que eu não gostasse de ser padre...
127,"Agora, ir falar-lhe sem ser chamada, não faço."
128,Creio que José Dias achou desusado este meu falar.
129,"Ao despedir-se de mim, na varanda, disse-me elle: —Amanhã, na rua."
130,"Tenho umas compras que fazer, você póde ir commigo, pedirei a mamãe."
131,José Dias tratava-me com extremos de mãe e attenções de servo.
132,Ajudava assim o mestre de primeiras lettras.
133,"Andando, para me —Ha muito tempo que não venho aqui, talvez um anno."
134,"Mas você está ficando moço, e elle vae tomando confiança."
135,"Capitú, apesar daquelles olhos que o diabo lhe deu..."
136,São assim de cigana obliqua e dissimulada.
137,Padua tem uma tendencia para gente réles.
138,Em lhe cheirando a homem chulo é com elle.
139,"Outros, de melhor sangue, me tem feito o favor de juizos altos."
140,E nada disso impede que elle seja o que lhe digo.
141,"Tinhamos outra vez andado, subimos ao terraço, e olhámos para o mar."
142,"Não obstante, José Dias ouvira-o espantado."
143,Toda a cara delle era pouca para a estupefacção.
144,Mas a palavra final é que trouxe um vigor unico.
145,"O senhor sabe que, em nossa casa, todos o apreciam."
146,"Mamãe pede muita vez os seus conselhos, não é?"
147,Tio Cosme diz que o senhor é pessoa de talento...
148,"São favores de pessoas dignas, que merecem tudo..."
149,nunca ninguem me ha de ouvir dizer nada de pessoas taes; porque?
150,"Sua mãe é uma santa, seu tio é um cavalheiro perfeitissimo."
151,"—Ha de ter tambem o de proteger os amigos, como eu."
152,Contentei-me de responder que não era tarde.
153,"—Não é tarde, ainda é tempo, se o senhor quizer."
154,"Mas que outra cousa quero eu, senão servil-o?"
155,"Que desejo, senão que seja feliz, como —Pois ainda é tempo."
156,"Não prometto vencer, mas lutar; trabalharei com alma."
157,"Paulo, a Pernambuco, ou ainda mais longe."
158,Ha boas universidades por esse mundo fóra.
159,"Peça-lhe a sua felicidade, que eu não faço outra cousa..."
160,"Uma vez que você não póde ser padre, e prefere as leis..."
161,Porque não ha de ir estudar leis fóra daqui?
162,"—Está dito, pede a mamãe que me não metia no seminario?"
163,"—Estamos a bordo, Bentinho, estamos a bordo!"
164,"Ao portão do Passeio, um mendigo estendeu-nos a mão."
165,"—Chamo-me Bento, accrescentei para esclarecel-o."
166,"Contava-me o enredo de algumas peças, recitava monologos em verso."
167,"Em caminho, encontrámos o imperador, que vinha da Escola de Medicina."
168,"«Sua Majestade pedindo, mamãe cede,» pensei commigo."
169,Grande alvoroço na visinhança: «O imperador entrou em casa de D.
170,"—A medicina,—porque lhe não manda ensinar medicina?"
171,Uma vez que é do agrado de Vossa Majestade...
172,A senhora mesma ha de ter visto milagres.
173,É uma bonita carreira; mande-o para a nossa Escola.
174,"Era muito longe, muito mar e muito tempo."
175,"Ouço um sino; é, creio que é em Santo Antonio dos Pobres."
176,Padua solicitava do sacristão uma das varas do pallio.
177,"—Ha só uma disponivel, disse o sacristão."
178,"—Mas eu tinha pedido primeiro, aventurou Padua."
179,Assim fez; mas José Dias transtornou ainda esta combinação.
180,"Não obstante, o total falava e captivava o coração."
181,"O vigario confessou a doente, deu-lhe a communhão e os santos oleos."
